,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,open_url,artist_name,title
2166,0.679,0.389,5,-8.292,1,0.106,0.32,0.00773,0.0808,0.575,74.011,audio_features,63rhKsfmDfUkJPG1uY8KcZ,spotify:track:63rhKsfmDfUkJPG1uY8KcZ,https://api.spotify.com/v1/tracks/63rhKsfmDfUkJPG1uY8KcZ,https://api.spotify.com/v1/audio-analysis/63rhKsfmDfUkJPG1uY8KcZ,342420,4,https://open.spotify.com/track/63rhKsfmDfUkJPG1uY8KcZ,Terry Dexter,Beautiful One
2167,0.769,0.784,9,-11.039,0,0.0343,0.377,0.0,0.0868,0.961,135.916,audio_features,68XOnnZaySPOrAN4WqUJBi,spotify:track:68XOnnZaySPOrAN4WqUJBi,https://api.spotify.com/v1/tracks/68XOnnZaySPOrAN4WqUJBi,https://api.spotify.com/v1/audio-analysis/68XOnnZaySPOrAN4WqUJBi,219373,4,https://open.spotify.com/track/68XOnnZaySPOrAN4WqUJBi,STEVE CAMP,Upon This Rock (Fire And Ice Version)
2168,0.411,0.859,4,-7.382,1,0.085,0.0671,0.00201,0.958,0.36,112.228,audio_features,0vcJzE2LuNY9aoq2hdMjHZ,spotify:track:0vcJzE2LuNY9aoq2hdMjHZ,https://api.spotify.com/v1/tracks/0vcJzE2LuNY9aoq2hdMjHZ,https://api.spotify.com/v1/audio-analysis/0vcJzE2LuNY9aoq2hdMjHZ,156173,3,https://open.spotify.com/track/0vcJzE2LuNY9aoq2hdMjHZ,The Sonics,On The Road Again
2169,0.812,0.51,5,-12.479,0,0.038,0.811,0.0,0.12,0.956,120.433,audio_features,1B8mX8abdTDaNTskwLUf1z,spotify:track:1B8mX8abdTDaNTskwLUf1z,https://api.spotify.com/v1/tracks/1B8mX8abdTDaNTskwLUf1z,https://api.spotify.com/v1/audio-analysis/1B8mX8abdTDaNTskwLUf1z,145493,4,https://open.spotify.com/track/1B8mX8abdTDaNTskwLUf1z,Leon Russell,Roller Derby
2170,0.717,0.527,9,-10.779,1,0.0292,0.567,0.00668,0.0785,0.731,116.288,audio_features,3aAuIvgJGdp4wWd60riWfB,spotify:track:3aAuIvgJGdp4wWd60riWfB,https://api.spotify.com/v1/tracks/3aAuIvgJGdp4wWd60riWfB,https://api.spotify.com/v1/audio-analysis/3aAuIvgJGdp4wWd60riWfB,246667,4,https://open.spotify.com/track/3aAuIvgJGdp4wWd60riWfB,Steve Wilson,Your God Isn't Listening
2171,0.536,0.148,0,-14.903,1,0.031,0.772,0.0,0.101,0.509,109.295,audio_features,5Z7bkW3dsu8jLdv3dEGxly,spotify:track:5Z7bkW3dsu8jLdv3dEGxly,https://api.spotify.com/v1/tracks/5Z7bkW3dsu8jLdv3dEGxly,https://api.spotify.com/v1/audio-analysis/5Z7bkW3dsu8jLdv3dEGxly,165760,4,https://open.spotify.com/track/5Z7bkW3dsu8jLdv3dEGxly,Charlie Rich,Nice 'N' Easy
2172,0.617,0.755,9,-6.414,1,0.0318,0.012,3.82e-06,0.28,0.716,150.003,audio_features,0sv8VAWhT2kleoKReimCNT,spotify:track:0sv8VAWhT2kleoKReimCNT,https://api.spotify.com/v1/tracks/0sv8VAWhT2kleoKReimCNT,https://api.spotify.com/v1/audio-analysis/0sv8VAWhT2kleoKReimCNT,206493,4,https://open.spotify.com/track/0sv8VAWhT2kleoKReimCNT,Dexys Midnight Runners,Spiritual Passion (aka Dubious)
2173,0.715,0.689,2,-8.065,0,0.029,0.0143,0.000192,0.111,0.852,111.504,audio_features,4z7maGZkAonDlXlwo8q69f,spotify:track:4z7maGZkAonDlXlwo8q69f,https://api.spotify.com/v1/tracks/4z7maGZkAonDlXlwo8q69f,https://api.spotify.com/v1/audio-analysis/4z7maGZkAonDlXlwo8q69f,331333,4,https://open.spotify.com/track/4z7maGZkAonDlXlwo8q69f,Cam'Ron,Do Ya Thing (Remix) (Explicit Album Version)
2174,0.54,0.967,1,-4.174,0,0.162,0.00796,0.0,0.683,0.293,136.896,audio_features,3zUwwYcmob803s2Bkck8GY,spotify:track:3zUwwYcmob803s2Bkck8GY,https://api.spotify.com/v1/tracks/3zUwwYcmob803s2Bkck8GY,https://api.spotify.com/v1/audio-analysis/3zUwwYcmob803s2Bkck8GY,247373,4,https://open.spotify.com/track/3zUwwYcmob803s2Bkck8GY,This Moment In Black History,Blackwords Masking
2175,0.616,0.2,9,-13.817,1,0.0311,0.693,0.000555,0.0838,0.154,129.663,audio_features,5IINR00AdSxDGuDTVD5a3I,spotify:track:5IINR00AdSxDGuDTVD5a3I,https://api.spotify.com/v1/tracks/5IINR00AdSxDGuDTVD5a3I,https://api.spotify.com/v1/audio-analysis/5IINR00AdSxDGuDTVD5a3I,316600,4,https://open.spotify.com/track/5IINR00AdSxDGuDTVD5a3I,Patty Griffin,Flaming Red
